All,Kõik
"The attribute model is not defined.","Atribuudi mudel defineerimata."
Category,Kategooria
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 ei laienda \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 ei laienda \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"%1 and above","%1 ja rohkem"
"Group price must be a number greater than 0.","Grupihind peab olema kõrgem kui 0."
"Please enter a valid number in this field.","Palun sisestage korrektne number."
"Use config","Kasuta seadeid"
"Attribute Set already exists.","Atribuudkomplekt juba eksisteerib."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Me ei saanud faili %1 kopeerida. Kustutage meedia olematute piltidega ja proovige uuesti."
"We can't add the product to the cart because of an option validation issue.","Me ei saa valiku kinnitamise vea tõttu toodet ostukorvi lisada."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 ei laienda \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The maximum allowed image size for '%1' is %2x%3 px.","Pildi maksimaalne suurus '%1' jaoks on %2x%3 px."
"File '%1' is not an image.","Fail '%1' pole pilt."
"Could not save Prices.","Ei saa hindasi salvestada."
"Could not delete Prices","Ei saa hindasi kustutada"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Tootel ei ole sellistel tingimustel grupihinda: kliendiGrupiId = '%1', veebisait = %2, kogus = %3"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 ei laienda \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 ei laienda \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Ei kuvata eraldi"
"Catalog, Search","Kataloog, otsing"
"Product %1 doesn't have linked %2 as %3","Toode %1 pole seotud %2 %3"
"Invalid product data: %1","Vigased toote andmed: %1"
"Database connection error","Andmebaasi ühenduse viga"
"Attribute '%1' is locked. %2","Atribuut ""%1"" on lukus. %2"
Dropdown,Rippvalik
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 ei laienda \Magento\Framework\Filter\Template"
message,sõnum
"Advanced Pricing","Täpsem hinnastamine"
"Customer Group Price","Kliendigrupi hind"
"Customer Group",Kliendigrupp
"Special Price From","Soodushind alates"
"Product Alerts",Tooteteavitused
"Add Selected","Lisa valitud"
"Select Attribute","Vali atribuut"
"Create New Attribute","Loo uus atribuut"
"Customizable Options","Kohandatavad valikud"
"Select Product","Vali toode"
"Add Value","Lisa väärtus"
"Option Type","Valiku tüüp"
"Max Characters","Max. tähemärgid"
"Maximum Image Size","Maksimaalne pildi suurus"
"Please leave blank if it is not an image.","Jäta tühjaks kui see pole pilt."
"This item has weight","Tootel on kaal"
"This item has no weight","Tootel puudub kaal"
"Set Product as New From","Uus alates"
"Add Related Products","Lisa seotud tooteid"
name,nimi
"Copy Data from","Kopeeri andmed kohast"
"This operation can take a long time","See toiming võib kesta pikka aega"
"Collapse All","Sulge kõik"
"Expand All","Ava kõik"
"Please confirm site switching. All data that hasn't been saved will be lost.","Kinnitage saidi vahetamine. Kustutatakse kõik andmed, mida pole veel salvestatud."
"Manage Titles (Size, Color, etc.)","Halda pealkirju (suurus, värv, jne.)"
"Manage Options (Values of Your Attribute)","Halda valikuid (atribuudi väärtuseid)"
"Sort Option","Sorteermise valik"
"The value of Admin must be unique.","Admini väärtus peab olema unikaalne."
Groups,Grupid
"Unassigned Attributes","Valimata atribuudid"
"A name is required.","Nimi on kohustuslik."
"Please enter a new group name.","Sisesta uue grupi nimi."
"Sorry, we're unable to complete this request.","Kahjuks ei saa me seda taotlust täita."
"You can't remove attributes from this attribute set.","Te ei saa attribuute sellest atribuutide komplektist eemaldada."
"Custom Options","Kohandatud valikud"
"This is a required option.","See on kohustuslik valik."
"The field isn't complete.","Väli ei ole täielik."
"Maximum image width","Maksimaalne pildi laius"
"Maximum image height","Maksimaalne pildi kõrgus"
"Maximum number of characters:","Maksimaalne tähemärkide arv:"
"start typing to search template","malli otsimiseks alusta trükkimist"
"Manage Stock","Halda laoseisu"
"Out-of-Stock Threshold","Laost otsas künnis"
"Minimum Qty Allowed in Shopping Cart","Väikseim ostukorvis lubatud kogus"
"Maximum Qty Allowed in Shopping Cart","Suurim ostukorvis lubatud kogus"
"Qty Uses Decimals","Kogus võimaldab komakohti"
Backorders,Järeltellimused
"Notify for Quantity Below","Teavita alla kogust"
"Enable Qty Increments","Luba kogusesamme"
"Qty Increments",Kogusesamm
"Stock Availability","Saadavus laost"
"In Stock",Laos
"Out of Stock","Laost otsas"
"Add Product To Websites","Lisa toode veebilehtedele"
"Item Price","Kauba hind"
"and above","ja rohkem"
"Browse to find or drag image here","Otsige üles või lohistage pilt siia"
"Delete image","Kustuta pilt"
Hidden,Peidetud
"Alt Text","Alt tekst"
Role,Roll
"Image Size","Pildi suurus"
"Image Resolution","Pildi resolutsioon"
"start typing to search attribute","alusta trükkimist et otsida atribuuti"
"Basic Settings","Peamised seaded"
"Advanced Settings","Täpsemad seaded"
"Special Price",Soodushind
"Buy %1 for: ","Osta %1: "
"Shop By",Vali
"Shopping Options","Ostlemise Valikud"
"Compare Products","Võrdle tooteid"
"Print This Page","Prindi see lehekülg"
"Remove Product","Eemalda toode"
"Add to Wish List","Lisa soovinimekirja"
"You have no items to compare.","Pole tooteid mida võrrelda."
"Remove This Item","Eemalda toode"
Compare,Võrdle
"Clear All","Tühjenda kõik"
Prev,Eelmine
"We can't find products matching the selection.","Me ei leia Teie valikule vastavaid tooteid."
"Learn More","Tutvu lähemalt"
"Add to Compare","Lisa võrdlusesse"
"We found other products you might like!","Leidsime tooteid mis võivad teile meeldida!"
"More Choices:","Rohkem valikuid:"
"select all","vali kõik"
"Items %1-%2 of %3","Üksuseid %1-%2 - %3'st"
"%1 Item","%1 toodet"
"%1 Items","%1 toodet"
Show,Näita
"Sort By",Sorteeri
"Set Ascending Direction","Määra tõusev suund"
"Set Descending Direction","Määra kahanevas suunas"
"View as",Kuvamisviis
"More Information",Lisainfo
"Warning message",Hoiatusteade
"We don't recognize or support this file extension type.","Me ei tunne või toeta seda tüüpi faililaiendit."
"Configure Product","Konfigureeri toodet"
"Choose existing category.","Vali olemasolev kategooria."
"Image Detail","Pilt üksikasjalikult"
Adding...,Lisab...
Added,Lisatud
"unselect all","tühista kõik"
Inventory,Ladu
Small,Väike
Main,Peamine
"Custom image","Kohandatud pilt"
"Recently Viewed/Compared Products","Viimati vaadatud / võrreldud tooted"
Storefront,Poevaade
"List Mode","Loetelu režiim"
Comma-separated.,"Komaga eraldatud."
"Use Flat Catalog Category","Kasuta lamedat kategooriat"
"Use Flat Catalog Product","Kasuta lamedat toodet"
"Product Listing Sort by","Toodete nimekirja sorteerimine"
"Allow All Products per Page","Luba kõik tooted lehel"
"Product Image Placeholders","Toote Pildi kohatäited"
"Use JavaScript Calendar","Kasuta JavaScript kalendrit"
"Time Format",Kellaajavorming
"Product Info Column","Toote Info veerg"
"Block after Info Column","Peale info veeru blokki"
"Product Flat Data","Toodete lameandmed"
"Reorganize EAV product structure to flat structure","Kohandab EAV tooteandmed lamedaks tabeliks"
"Category Flat Data","Kategooria lameandmed"
"Reorganize EAV category structure to flat structure","Kohandab EAV kategooriaandmed lamedaks tabeliks"
"Category Products","Kategooria tooted"
"Product Categories","Toote kategooriad"
"Product Price",Tootehind
"Product EAV","Toote EAV"
"Index product EAV","Indekseeri toote EAV"
"Display Type","Kuvatav tüüp"
"All products","Kõik tooted"
"New products","Uued tooted"
"Number of Products per Page","Tooteid lehe kohta"
"Number of Products to Display","Kuvatavate toodete hulk"
Template,Mall
"Cache Lifetime (Seconds)","Vahemälu eluiga (sekundites)"
"Select Product...","Vali toode..."
"Select Category...","Vali kategooria..."
"If empty, we'll use the category name here.","Kui on tühi, kasutame siin kategooria nime."
"Recently Viewed Products","Viimati vaadatud tooted"
Image,Pilt
"Add to Wishlist","Lisa soovikorvi"
"Recently Compared Products","Viimati võrreldud tooted"
"Enable Category","Luba kategooria"
"Include in Menu","Lisa menüüsse"
"Category Image","Kategooria pilt"
"Add CMS Block","Lisa CMS blokk"
"Default Product Listing Sort By","Vaikimisi toodete nimekirja sorteerimine"
"URL Key","URL-i tunnus"
"Meta Title","Meta pealkiri"
"Meta Keywords","Meta märksõnad"
"Meta Description","Meta kirjeldus"
Theme,Mall
Layout,Paigutus
"Layout Update XML","Paigutuse uuenduse XML"
"Image Opacity","Pildi läbipaistvus"
"Image Position","Pildi asukoht"
"Attribute Properties","Atribuudi sätted"
"Attribute Label","Atribuudi silt"
"Catalog Input Type for Store Owner","Kataloogi sisendi tüüp kaupluse omaniku jaoks"
Values,Väärtused
"Delete items","Kustuta üksused"
"Change status","Muuda staatust"
"Update attributes","Uuenda atribuute"
Overview,Ülevaade
"Add To Cart","Lisa ostukorvi"
"Add To Compare","Lisa võrdlusesse"
"Learn more",Lisateave
"Recently Viewed","Viimati vaadatud"
"Edit Event","Redigeeri sündmust"
Events,Sündmused
"Add Catalog Event","Lisa kataloogi sündmus"
"Back to Category","Tagasi kategooriasse"
Open,Ava
Closed,Suletud
"Category Page","Kategooria leht"
"Product Page",Tooteleht
"New Event","Uus sündmus"
"Select Category","Vali kategooria"
"Category ID","Kategooria ID"
Start,Algus
End,Lõpp
"There are no product types available for export.","Ekspordiks vajalikke tootetüüpe ei ole."
"Category ""%1"" has not been created.","Kategooria ""%1"" pole veel loodud."
"File directory '%1' is not readable.","Faili kataloogi ""%1"" pole loetav."
"Minimum Qty","Minimaalne kogus"
"Add Minimum Qty","Lisage Minimaalne kogus"
"This product is out of stock.","See toode on laost otsas."
"Some of the products are out of stock.","Osad tooted on laost otsas."
"Undefined product type","Defineerimata toote tüüp"
"No Backorders","Keela järeltellimused"
"Allow Qty Below 0","Luba kogus alla 0"
"Allow Qty Below 0 and Notify Customer","Luba kogus alla 0 ja teavita klienti"
"Please correct the quantity for some products.","Palun korrigeerige osade toodete kogus."
"Stock Status",Laoseis
"Only %1 left","Ainult %1 järgi"
"Product availability","Toote saadavus"
"Inventory Section",Ladu
"Stock Options","Lao valikud"
"Decrease Stock When Order is Placed","Vähenda laoseisu peale tellimuse esitamist"
"Set Items' Status to be In Stock When Order is Cancelled","Muuda toode laosolevaks kui tellimus tühistatakse"
"Display Out of Stock Products","Näita tooteid mida laos pole"
"Products will still be shown by direct product URLs.","Tooteid ikka näidatakse otsese URLi kaudu"
"Only X left Threshold","Ainult x järgi künnis"
"Display Products Availability in Stock on Storefront","Näita toote saadavust poes"
"Product Stock Options","Toote laoseisu valikud"
Stock,Ladu
"Index stock","Indekseeri ladu"
"New Permission","Uus luba"
(Allow),(Luba)
(Deny),(Keela)
"Category Permissions","Kategooria õigused"
"Display Product Prices","Kuva toodete hindu"
"No, Redirect to Landing Page","Ei, suuna maandumislehele"
"Permissions do not depend on store views.","Õigused ei sõltu poevaadetest."
"All Customer Groups","Kõik kliendigrupid"
Allow,Luba
Deny,Keela
"Landing Page",Maandusmisleht
"Allow Adding to Cart","Luba ostukorvi lisamine"
"Delete Rule","Kustuta reegel"
"Save and Apply","Salvesta ja rakenda"
"Catalog Price Rule","Kataloogi hinnareegel"
"Add New Rule","Lisa uus reegel"
"Apply Rules","Rakenda reeglid"
Conditions,Tingimused
Promotions,Turundus
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Leidsime rakendamata reegleid. Palun vajutage ""Rakenda reeglid"" kataloogi uuendamiseks."
"You deleted the rule.","Reegel kustutatud."
"New Catalog Price Rule","Uus kataloogi hinnareegel"
"Edit Rule","Muuda reeglit"
"New Rule","Uus reegel"
"You saved the rule.","Reegel salvestatud."
"Catalog rule indexing failed. See details in exception log.","Kataloogi reegli indekseerimine nurjus. Vaata detaile exception logist."
"Discount value should be 0 or greater.","Allahindluse väärtus peab olema 0 või suurem."
"Unknown action.","Tundmatu toiming."
"Update the Product","Uuenda toodet"
"To Fixed Value","Fikseeritud väärtusele"
"To Percentage",Protsendina
"By Fixed value","Fikseeritud väärtusena"
"By Percentage",Protsendina
"Apply as fixed amount","Rakenda fikseeritud summana"
"Conditions Combination","Tingimuste kombinatsioon"
"Product Attribute",Tooteatribuut
"Rule Information",Reegliteave
"Rule Name","Reegli nimi"
Priority,Prioriteet
"Catalog Price Rules","Kataloogi hinnareeglid"
"Catalog Advanced Search","Kataloogi täppisotsing"
"Advanced Search Results","Täppisotsingu tulemused"
"Search Weight","Otsingu tähtsus"
Relevance,Tähtsus
"Search results for: '%1'","Otsingutulemused päringule: '%1'"
"Minimum Search query length is %1","Minimaalne päringu pikk on %1"
"%1 and greater","%1 või suurem"
"up to %1","kuni %1"
"Search Settings",Otsingusätted
"Advanced Search","Laiendatud otsing"
"<strong>%1 item</strong> were found using the following search criteria","Järgnevatele otsingukriteeriumitele vastab <strong>%1 toode(t)</strong>"
"<strong>%1 items</strong> were found using the following search criteria","Järgnevatele otsingukriteeriumitele vastab <strong>%1 toode(t)</strong>"
"Modify your search.","Muuda otsingut."
"Don't see what you're looking for?","Ei leidnud seda mida vaja?"
"Your search returned no results.","Otsing ei leidnud tulemusi."
"Catalog Search",Kataloogiotsing
"Popular Search Terms","Populaarsemad otsisõnad"
"Minimal Query Length","Lühim päringu pikkus"
"Maximum Query Length","Maksimaalne otsingu pikkus"
"Rebuild Catalog product fulltext search index","Rekonstrueeri kataloogi toote täisteksti otsingu indeksid"
View/Edit,Vaata/Muuda
Preview,Eelvaade
"Set Product as New","Määra toode uueks"
"Store View:",Poevaade:
"Sort Products By","Sorteeri tooteid"
"New Theme","Uus teema"
"Create Permanent Redirect for old URL","Luua permanentne ümbersuunamine vana URL'i jaoks"
"You need to refresh the cache.","Peate värskendama vahemälu."
"Product URL Suffix","Toote URL-i järelliide"
"Create Permanent Redirect for URLs if URL Key Changed","Loo alaline ümbersuunamine URL'dele kui URL'i väärtus muutub"
"Please choose a condition to add.","Palun valige lisatav tingimus."
"My Cart (1 item)","Minu ostukorv (1 toode)"
"My Cart (%1 items)","Minu ostukorv (%1 toodet)"
"My Cart","Minu ostukorv"
"For delivery questions.","Kohaletoimetamise küsimused."
"Customer is already registered","Klient on juba registreeritud"
"Your session has expired","Teie sessioon on aegunud"
"A letter with further instructions will be sent to your email.","Täiendavate juhiste kiri saadetakse teie e-posti."
"We cannot configure the product.","Ei saa toodet konfigureerida."
"You used coupon code ""%1"".","Kasutasid sooduskoodi ""%1""."
"You canceled the coupon code.","Sooduskood tühistatud."
"We cannot apply the coupon code.","Ei saa rakendada sooduskoodi."
"%1 was updated in your shopping cart.","%1 uuendati ostukorvis."
"We can't update the shopping cart.","Ei saa ostukorvi uuendada."
"Guest checkout is disabled.","Tellimine külalistele on keelatud."
Checkout,"Tellimuse vormistamine"
"Page not found.","Lehte ei leitud."
"Something went wrong while processing your order. Please try again later.","Teie tellimuse töötlemisel läks midagi valesti. Palun proovige hiljem uuesti."
"Payment Method",Makseviis
"Payment Page","Makse leht"
"The product does not exist.","Toodet pole olemas."
"We don't have some of the products you want.","Meil puuduvad mõned Teie poolt soovitud tooted."
"We don't have as many of some products as you want.","Meil ei ole mõnda soovitud toodet Teie poolt nõutavas koguses."
"Quantity was recalculated from %1 to %2","Kogus arvutati ümber koguselt %1 kogusele %2"
"Display number of items in cart","Näita toodete kogust ostukorvis"
"Display item quantities","Näita kaubakoguseid"
" item"," toode"
" items"," toodet"
"Invalid data","Valed andmed"
"The customer address is not valid.","Kliendi aadress ei ole õige."
"Invalid shipping method","Vale tarneviis"
"Sorry, guest checkout is not available.","Vabandame, tellimuse vormistamine külalisele pole saadaval."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Te peate kinnitama oma konto. Palun kontrollige oma e-posti või <a href=""%1"">vajutage siia</a>."
"Invalid method: %1","Sobimatu meetod: %1"
Error!,Viga!
"DB exception","Andmebaasi erand"
"Apply Discount Code","Rakenda sooduskood"
"Enter discount code","Sisesta sooduskood"
"Apply Discount","Rakenda soodus"
"Cancel Coupon","Eemalda kupong"
"Continue Shopping","Jätka ostlemist"
"Clear Shopping Cart","Tühjenda ostukorv"
"Update Shopping Cart","Uuenda ostukorvi"
"Update Cart","Uuenda ostukorvi"
"You have no items in your shopping cart.","Ostukorvis pole tooteid."
"Click <a href=""%1"">here</a> to continue shopping.","Vajuta <a href=""%1"">siia</a> et jätkata ostlemist."
"Estimate Tax","Hinda makse"
"Estimate Shipping and Tax","Hinnanguline kohaletoimetamine ja maksustamine"
"Order #","Tellimus #"
"Proceed to Checkout","Vormista ost"
"Your order number is: %1.","Teie tellimus # on: %1."
"Your order # is: <span>%1</span>.","Tellimus <span>#%1</span>."
"We'll email you an order confirmation with details and tracking info.","Me saadame teile tellimuse kinnituse koos detailidega ning jälgimisinfoga."
"Payment Transaction Failed Reminder","Ebaõnnestunud makse meeldetuletus"
"Payment Transaction Failed","Makse ebaõnnestus"
Reason,Põhjus
"Checkout Type","Tellimuse vormistamise tüüp"
Customer:,Klient:
Total:,Kokku:
"Billing Address:",Arveaadress:
"Shipping Address:",Tarneaadress:
"Shipping Method:",Tarneviis:
"Payment Method:",Makseviis:
"Date & Time:","Kuupäev & Kellaeg:"
"Sign In","Logi Sisse"
"Email Address","E-posti aadress"
"Forgot Your Password?","Unustasid salasõna?"
"My billing and shipping address are the same","Minu kohaletoimetamise ja arve aadress on samad"
Update,Uuenda
"Estimated Total","Eeldatav kogusumma"
"You can create an account after checkout.","Saate luua konto peale tellimuse vormistamist."
"You already have an account with us. Sign in or continue as guest.","Teil on juba konto olemas. Logi sisse või jätka külalisena."
Login,Sisene
"Items in Cart","Toodet ostukorvis"
"Item in Cart","Toode ostukorvis"
"View and Edit Cart","Vaata ja Muuda Korvi"
"See Details","Vaata detaile"
"Options Details","Valikute üksikasjad"
"Cart Subtotal","Ostukorvi vahesumma"
"You can track your order status by creating an account.","Luues konto saate jälgida oma tellimuse staatust."
"Forgot an Item?","Unustasid midagi?"
"Edit Your Cart","Muuda ostukorvi sisu"
"Ship Here","Saada siia"
"Ship To:",Saaja:
edit,muuda
"Shipping Address",Tarneaadress
"New Address","Uus aadress"
"Order Summary","Tellimuse Kokkuvõte"
"Provided Zip/Postal Code seems to be invalid.","Postiindeks ei ole korrektne."
" Example: "," Näiteks: "
"Field ","Väli "
" is required."," on nõutud."
"Review & Payments","Ülevaade ja maksmine"
"Select a new payment method","Valige uus makseviis"
"Save Address","Salvesta aadress"
"Checkout Options","Tellimuse vormistamiste valikud"
"Enable Onepage Checkout","Luba ühe lehe tellimuse vormistamine"
"Allow Guest Checkout","Luba ostu vormistamist külalisena"
"Display Billing Address On","Kuva arveaadress"
"Maximum Number of Items to Display in Order Summary","Tellimuse kokkuvõttes näidatavate toodete maksimumarv"
"Quote Lifetime (days)","Pakkumise kehtivus (päevades)"
"After Adding a Product Redirect to Shopping Cart","Pärast toote lisamist suuna ostukorvi"
"My Cart Link","Minu ostukorv"
"Display Cart Summary","Näita ostukorvi sisu"
"Order Total","Tellimus kokku"
Payment,Makse
"Not yet calculated","Pole veel arvutatud"
"Thank you for your purchase!","Täname ostu eest!"
"Terms and Conditions","Nõuded ja tingimused"
"Add New Condition","Lisa tingimus"
"Save Condition","Salvestada tingimus"
"Delete Condition","Kustuta tingimus"
"Edit Terms and Conditions","Muuda nõudeid ja tingimusi"
"New Terms and Conditions","Uus tingimus"
"Terms and Conditions Information","Tingimuste informatsioon"
"Condition Name","Tigimuse nimetus"
"Show Content as","Kuva sisu kui"
Applied,Rakendatud
"Checkbox Text","Märkeruudu tekst"
"Content Height (css)","Sisu kõrgus (css)"
"Content Height","Sisu kõrgus"
Condition,Tingimus
Sales,Müük
"Checkout Conditions","Tellimuse vormistamise tingimused"
"Checkout Terms and Conditions","Tellimuse vormistamise tingimused ja nõuded"
"This condition no longer exists.","Seda tingimust enam ei eksisteeri."
"Edit Condition","Muuda tingimust"
"New Condition","Uus tingimus"
"You saved the condition.","Tingimus salvestatud."
Automatically,Automaatselt
Manually,Manuaalselt
"Terms & Conditions","Nõuded ja tingimused"
"Enable Terms and Conditions","Luba nõuded ja tingimused"
"Static Blocks","Staatilised plokid"
"Add New Block","Lisa uus plokk"
"Delete Block","Kustuta plokk"
Identifier,Tunnus
"Manage Pages","Halda lehti"
"Add New Page","Lisa uus leht"
"Delete Page","Kustuta leht"
Created,Loodud
Modified,Muudetud
"Media Storage","Meedia hoidla"
"Delete Folder","Kustuta kaust"
"New Folder Name:","Uue kausta nimi:"
"Are you sure you want to delete this folder?","Olete kindel et soovite kustutada seda kausta?"
"Are you sure you want to delete this file?","Olete kindel et soovite kustutada seda faili?"
"Images (%1)","Pildid (%1)"
"Storage Root","Failide juurkataloog"
CMS,Sisuhaldus
"You deleted the block.","Plokk kustutatud."
"This block no longer exists.","Seda plokki ei eksisteeri enam."
"Edit Block","Muuda plokki"
"New Block","Uus plokk"
Blocks,Plokid
"You saved the block.","Blokk salvestatud."
"Something went wrong while saving the block.","Ploki salvestamisel läks midagi valesti."
"The page has been deleted.","Leht kustutatud."
"This page no longer exists.","Seda lehte ei eksisteeri enam."
"Edit Page","Muuda lehte"
"New Page","Uus leht"
Pages,Lehed
"Something went wrong while saving the page.","Lehe salvestamisel läks midagi valesti."
"A total of %1 record(s) have been disabled.","Kokku keelatud %1 kirje(t)."
"A total of %1 record(s) have been enabled.","Kokku lubatud %1 kirje(t)."
"Page Title","Lehe pealkiri"
"You saved the page.","Leht salvestatud."
"Enabled by Default","Vaikimisi lubatud"
"Disabled by Default","Vaikimisi keelatud"
"Disabled Completely","Täielikult keelatud"
"Could not save the page: %1","Ei saa salvestada lehte: %1"
"Could not delete the page: %1","Ei saa kustutada lehte: %1"
View,Kuva
"Save Page","Salvesta leht"
"CMS Home Page","Avalehe CMS"
"CMS Static Block","CMS staatiline plokk"
"Contents of a Static Block","Staatilise ploki sisu"
Block,Plokk
"Select Block...","Valige plokk..."
"General Information",Üldinfo
"Enable Block","Luba plokk"
"Block Title","Ploki pealkiri"
"Are you sure you want to delete selected items?","Olete kindel et soovite kustutada valikud kirjed?"
"Page Information",Leheseaded
"Enable Page","Luba leht"
"Content Heading","Sisu pealkiri"
"Page in Websites","Leht veebilehtedes"
"Custom Design Update","Kohandatud kujundus"
"New Layout","Uus kujundus"
"Search Engine Optimisation","Otsingumootori optimiseerimine"
"CMS Pages",Sisulehed
"CMS Blocks",Sisuplokid
"Delete Customer","Kustuta klient"
"A total of %1 record(s) were updated.","Kokku uuendati %1 kirjet."
"Add New Role","Lisa Uus Roll"
"Edit Role","Muuda rolli"
"Invalid login or password.","Vale kasutajatunnus või salasõna."
"Something went wrong","Midagi läks valesti"
"Role Name","Rolli nimi"
"User Role","Kasutaja roll"
"Please select a region, state or province.","Valige piirkond, maakond või vald."
"Phone Number",Telefon
Contacts,Kontaktid
"Role Information",Rolliteave
"Save Role","Salvesta roll"
"Add New User","Lisa uus kasutaja"
"Create an Account","Uus konto"
"When you sign in to your account, you will be able to:","Peale sisse logimist on teile võimalik teha järgnevaid toiminguid:"
"Edit User","Muuda kasutajat"
Comment,Kommentaar
ZIP,Postiindeks
Gender,Sugu
"My Orders","Minu tellimused"
"Create New Customer","Loo uus klient"
Users,Kasutajad
Updated,Uuendatud
Purchased,Ostetud
"Store Credit","Poe krediit"
"Order # %1","Tellimus # %1"
"This is a required field.","See on kohustuslik väli."
Rate,Hinda
Date,Kuupäev
"Payment Methods",Makseviisid
"Default Config",Vaikeseaded
"Save Config","Salvesta seaded"
"Use system value","Kasuta süsteemiväärtust"
"Use Website","Kasuta veebisaiti"
Add,Lisa
"Delete File","Kustuta fail"
"Search String",Otsisõna
"Design Theme","Kujunduse teema"
"-- No Theme --","-- Teema puudub --"
"You saved the configuration.","Seadistus salvestatud."
"Default scope",Vaikeulatus
"Base currency",Baasvaluuta
"Display default currency","Kuva vaikimisi valuuta"
Bcc,Pimekoopia
"Separate Email","Eraldi e-post"
title,pealkiri
Optional,Valikuline
"HTTP (unsecure)","HTTP (mitteturvaline)"
"Yes (302 Found)","Jah (302 leitud)"
Specified,Spetsiifiline
"element comment","elemendi kommentaar"
"Add after","Lisa peale"
"Current Configuration Scope:",Konfiguratsiooniskoop:
"Group Label","Grupi silt"
"Some Label","Mingi silt"
"Tab Label","Vahekaardi silt"
"Field 2","Väli 2"
"Field 3","Väli 3"
"Field 3.1","Väli 3.1"
"Field 3.1.1","Väli 3.1.1"
"Field 4","Väli 4"
"Advanced Section","Täpsemad seaded"
"Advanced Admin Section","Admini täpsemad seaded"
"Design Section",Kujundus
"General Section",Üldine
"System Section",Süsteem
"Currency Setup Section","Valuuta seaded"
"Developer Section",Arendaja
"Web Section",Veeb
"Store Email Addresses Section","Poe e-posti aadressid"
"Email to a Friend","Saada sõbrale"
"Add configurable attributes to the current Attribute Set (""%1"")","Lisage konfigureeritavaid atribuute praegusele atribuudikogumile (""%1"")"
"New attribute set name","Uus atribuudi kogumi nimi"
"Add configurable attributes to the existing Attribute Set","Lisage konfigureeritavaid atribuute praegusele atribuudikogumile"
"Choose existing Attribute Set","Vali olemasolev atribuudikogum"
Configurations,Seadistused
"Attribute Values","Atribuudi väärtused"
"Select Attributes","Vali atribuudid"
"Choose an Option...","Tehke valik..."
"This attribute is used in configurable products.","Seda atribuut on kasutuses konfigureeritavate toodetega."
"Add configurable attributes to the current Attribute Set","Lisage konfigureeritavaid atribuute praegusele atribuudikogumile"
Confirm,Kinnita
"New Attribute Set Name","Uue atribuudi kogumi nimi"
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Seda atribuuti kasutatakse konfigureeritavates toodetes. Sa ei saa seda eemaldada atribuudikogumikust."
"Step 2: Attribute Values","Samm 2: Atribuudi väärtused"
"Remove Attribute","Eemalda atribuut"
"Create New Value","Loo uus väärtus"
"Step 3: Bulk Images, Price and Quantity","Samm 3: Masspildid, hind ja kogus"
"Apply single set of images to all SKUs","Rakenda üks kogus pilte kõikidele toodetele"
"Remove image","Eemalda pilt"
Select,Vali
"Step 1: Select Attributes","Samm 1: Valige atribuudid"
"Step 4: Summary","Samm 4: Kokkuvõte"
"Upload Image","Lae pilt üles"
"Upload image","Lae pilt üles"
"No Image","Pilt puudub"
"Enable Product","Luba toode"
"New Product Review","Uue toote arvustus"
"Please choose image(s).","Palun valige pildid."
"Please select attribute(s).","Palun valige atribuut."
"Configurable Product Image","Konfigureeritava Toote Pilt"
"Write Us","Kirjutage meile"
"Jot us a note and we’ll get back to you as quickly as possible.","Jätke meile teade ja me võtame teiega ühendust esimesel võimalusel."
"What’s on your mind?","Millest mõtled?"
"Contact Form","Kontakti vorm"
"Contacts Section",Kontaktid
"Contact Us","Võta ühendust"
"Enable Contact Us","Luba võta ühendust"
"Email Options","E-posti parameetrid"
"Send Emails To","Saada kiri"
"Email Sender","E-posti saatja"
"Email Template","E-kirja põhi"
"Invalid domain name: %1","Vale domeeni nimi: %1"
"Invalid cookie path","Kehtetu küpsise teekond"
"We use cookies to make your experience better.","Et teid paremini teenindada, siis kasutame küpsiseid."
"<a href=""%1"">Learn more</a>.","<a href=""%1""> Lisateave</a>."
"Allow Cookies","Küpsiste lubamine"
"Default Cookie Settings","Küpsiste vaikesätted"
"Cookie Lifetime","Küpsise eluiga"
"Cookie Domain","Küpsise domeen"
"Use HTTP Only","Kasuta vaid HTTP-d"
"We can't save the cron expression.","CronJob'i avldist ei saa salvestada."
Daily,"Iga päev"
Weekly,"Iga nädal"
Monthly,"Iga kuu"
"Save Currency Rates","Salvesta valuutakursid"
"Manage Currency Rates","Halda valuutakursse"
